Brand,Type,Material,color,FromNewSeason,ManufacturingCountry,Description,Price
Valentino Garavani,Clutch Bags,calf leather,black,,Made in Italy,1,1526
Versace,Shoulder Bags,leather,black,New Season,Made in Italy,1,2215
STAUD,Bucket Bags,cotton,cream white/tan brown,New Season,,0,403
Moschino,Shoulder Bags,leather trim,auburn brown/black,New Season,Made in Italy,0,907
Isabel Marant,Tote Bags,leather,black,New Season,,0,1280
Versace,Messenger & Crossbody Bags,calf leather,black,,Made in Italy,1,1380
Stella McCartney,Bucket Bags,artificial leather,off-white,New Season,Made in Italy,0,1460
Chloé,Messenger & Crossbody Bags,calf leather,beige/brown,New Season,,0,670
Tory Burch,Messenger & Crossbody Bags,faux leather,cream white,New Season,,0,415
Rosantica,Clutch Bags,star shape,gold-tone,New Season,Made in Italy,0,1504
Dolce & Gabbana,Tote Bags,embroidered logo to the front,beige,New Season,Made in Italy,1,1101
Tory Burch,Messenger & Crossbody Bags,velvet,light olive green,New Season,,0,1046
Rosantica,Mini Bags,glass/metal,silver-tone,New Season,Made in Italy,0,1019
DeMellier,Bucket Bags,calf leather,taupe,New Season,,0,492
Jimmy Choo,Tote Bags,sequin embellishment,gold-tone,New Season,Made in Italy,0,910
Lemaire,Messenger & Crossbody Bags,cotton,brown,,,1,1265
DeMellier,Clutch Bags,calf leather,black,New Season,,0,622
Versace,Messenger & Crossbody Bags,calf leather,black,New Season,Made in Italy,1,862
Bao Bao Issey Miyake,Tote Bags,geometric panelled design,black,New Season,,0,978
Jil Sander,Tote Bags,calf leather,black,,Made in Italy,1,1715
Maison Margiela,Bucket Bags,calf leather/cotton-blend,black,,Made in Italy,0,1150
LASTFRAME,Backpacks,horizontal stripe pattern,ivory white/green,New Season,,0,431
MACH & MACH,Tote Bags,glitter detailing,silver-tone,New Season,Made in Italy,1,698
STAUD,Shoulder Bags,glass,purple,New Season,,0,235
DeMellier,Tote Bags,calf leather,off-white,New Season,,0,424
ETRO,Tote Bags,cotton/calf leather,multicolour,New Season,Made in Italy,0,653
Dolce & Gabbana,Tote Bags,leather trim,multicolour,New Season,Made in Italy,0,1493
MACH & MACH,Tote Bags,glitter detailing,galaxy,New Season,Made in Italy,1,663
Stella McCartney,Shoulder Bags,faux leather,banana yellow,New Season,Made in Italy,0,1520
STATE OF ESCAPE,Tote Bags,fully perforated,camel brown,New Season,,0,301
KHAITE,Tote Bags,calf leather,beige,New Season,Made in Italy,0,2373
LASTFRAME,Tote Bags,knitted construction,red/neon pink,New Season,,0,349
BY FAR,Clutch Bags,goatskin,cobalt blue,New Season,,1,480
LASTFRAME,Tote Bags,knitted panels,black,New Season,,0,308
Jil Sander,Tote Bags,cotton/leather,beige,New Season,Made in Italy,1,2335
See by Chloé,Tote Bags,goatskin/cotton,black,New Season,,0,581
Tod's,Messenger & Crossbody Bags,leather,tan,,Made in Italy,1,2070
Tory Burch,Messenger & Crossbody Bags,leather,silver-tone,New Season,,1,360
BY FAR,Tote Bags,calf leather,black,New Season,,1,588
Jil Sander,Tote Bags,calf leather,light sage green,New Season,Made in Italy,1,1695
Jimmy Choo,Shoulder Bags,lambskin,gold,,Made in Italy,1,1783
ETRO,Tote Bags,cotton blend/calf leather,beige/multicolour,New Season,Made in Italy,1,1272
Lemaire,Shoulder Bags,leather,black,,,1,1183
Courrèges,Shoulder Bags,,,New Season,,0,485
Stella McCartney,Shoulder Bags,cotton blend,indigo blue,Conscious,Made in Italy,0,862
LASTFRAME,Tote Bags,checkerboard knit,black/white,New Season,,0,308
STAUD,Tote Bags,calf leather,black/beige,New Season,,0,349
PUBLISHED BY,Bucket Bags,calf leather,jet black,New Season,,0,814
See by Chloé,Tote Bags,cotton,indigo blue,New Season,,0,506
Rodo,Tote Bags,silk satin,yellow,New Season,Made in Italy,1,677
Kvadrat,Tote Bags,wool blend,pink/multicolour,,Made in Italy,1,331
Wandler,Messenger & Crossbody Bags,nubuck leather,light olive green,New Season,Made in Italy,0,800
Jimmy Choo,Messenger & Crossbody Bags,recycled cotton blend/calf leather,blue,New Season,Made in Italy,0,1295
Bao Bao Issey Miyake,Shoulder Bags,matte finish,light brown,New Season,,0,862
Valentino Garavani,Shoulder Bags,calf leather,gold-tone,,Made in Italy,1,2926
See by Chloé,Messenger & Crossbody Bags,calf leather,caramel brown,New Season,,0,510
Lemaire,Messenger & Crossbody Bags,cotton,brown,New Season,,1,1045
